name,specialization,fee,ratings,str_number,gender
Roy Martin,Gastroenterology,85000,3.0,STR80166,Male
Eric Watson,,80000,3.0,STR14944,Male
Amy Garcia,,35000,,STR66942,Male
Ryan French,Gastroenterology,45000,2.0,STR40554,Female
Stephanie Turner,,65000,,STR83881,Male
Patricia Gibson,Urology,60000,3.0,STR81603,Female
Christopher Lambert,,55000,2.0,STR38546,Female
Adam Lawrence,,30000,,STR50721,Female
Steven Chavez,Surgery,25000,1.0,STR27072,Male
Joseph Bailey,Psychiatry,85000,,STR63778,Female
Nicole Garcia,Cardiology,35000,3.0,STR30368,Female
Amber Holmes,Gastroenterology,20000,,STR40551,Female
Madeline Price,Urology,25000,4.0,STR55249,Female
Todd Crawford,,60000,,STR09613,Female
Justin Ramos,Cardiology,100000,3.0,STR25625,Female
Rachel Bishop,Gastroenterology,70000,,STR03642,Female
Marissa FerNULLdez,,70000,1.0,STR59609,Female
Susan Kaiser,Radiology,55000,4.0,STR68357,Male
Stephen Nelson,Pediatrics,80000,,STR61296,Male
Amanda Williams,Pediatrics,80000,,STR23902,Male
Dr. Cheryl Grant DVM,Cardiology,65000,,STR96279,Female
Scott Gardner,Oncology,95000,,STR31866,Female
Ms. Stephanie Zamora,Cardiology,45000,4.0,STR50089,Male
Emily Holmes,Surgery,80000,3.0,STR25517,Female
Adam Freeman,Pediatrics,90000,,STR57421,Male
Bradley Gordon,Psychiatry,90000,3.0,STR75846,Male
Christopher French,Oncology,25000,2.0,STR28291,Male
Kenneth Valdez,Neurology,75000,2.0,STR64045,Female
Steven Johnston,Urology,60000,2.0,STR58665,Male
Austin Cuevas,Surgery,55000,4.0,STR89629,Female
Erik Porter,Cardiology,30000,3.0,STR27814,Male
Jeremy Cruz,,80000,2.0,STR02030,Male
Mary Williams,,80000,4.0,STR49089,Female
William Barrett,,45000,2.0,STR83824,Male
Mackenzie Nelson,Cardiology,70000,1.0,STR86544,Male
Taylor Walker,Dermatology,85000,,STR33718,Female
Misty Norton,Urology,60000,2.0,STR92265,Male
Jeffrey Nicholson,Cardiology,85000,2.0,STR78707,Female
Andrea Aguirre,,85000,4.0,STR38842,Female
Mr. Jerry Brown,,95000,5.0,STR63313,Female
Mr. Robert Ho,Psychiatry,50000,5.0,STR99916,Female
Cynthia Brown,Endocrinology,80000,5.0,STR22095,Female
Matthew Parker,Urology,95000,,STR82285,Female
Maria Waters,Neurology,80000,,STR55507,Female
Michael Davis,Radiology,30000,3.0,STR03446,Male
Haley Contreras,Gastroenterology,90000,2.0,STR62361,Female
Derek Howe,,75000,,STR70563,Male
Kelly Cole,Psychiatry,50000,1.0,STR69745,Female
Gregg Adams,,55000,3.0,STR45008,Female
Jonathan Harris,Cardiology,20000,4.0,STR73938,Female
Fred Dixon,Endocrinology,90000,1.0,STR97622,Female
NULLcy Day,Urology,70000,2.0,STR69041,Female
Scott Gilbert,Psychiatry,35000,2.0,STR05548,Female
Carlos Brown,Oncology,90000,5.0,STR42336,Female
Timothy Farmer,,30000,3.0,STR91947,Female
Hannah Smith,Pediatrics,95000,2.0,STR25966,Female
George Prince,Gastroenterology,80000,,STR70920,Female
Stephanie Massey,Urology,25000,5.0,STR13652,Female
Wesley Villa,Urology,35000,3.0,STR29569,Male
Ryan Taylor,Endocrinology,50000,1.0,STR24460,Female
Teresa West,Neurology,75000,2.0,STR89776,Male
Larry Wilkins,Endocrinology,100000,,STR36982,Male
Rebecca Woodard,Cardiology,100000,2.0,STR93277,Female
Michael Miller,Endocrinology,75000,5.0,STR62140,Male
NULLcy Fischer,Gastroenterology,80000,,STR91991,Female
April Roberson,Gastroenterology,80000,2.0,STR34847,Male
Tara Holmes,Pediatrics,35000,3.0,STR48456,Female
April Moran,Oncology,50000,5.0,STR53587,Female
Jordan Duncan,Gastroenterology,50000,4.0,STR99127,Female
Christopher Howell,Radiology,95000,2.0,STR92056,Female
Alexa Olson,Endocrinology,100000,2.0,STR16485,Female
Gail Boyle,Radiology,50000,2.0,STR78719,Female
Dean Carr,Oncology,55000,4.0,STR03639,Female
Brandon Porter,Urology,30000,,STR07953,Male
Brandon Ramirez,,60000,,STR60009,Female
Edward White,,55000,5.0,STR98803,Male
George Porter,,70000,2.0,STR79455,Male
Courtney Hall,Urology,80000,3.0,STR63882,Female
Rebecca Clarke,Pediatrics,25000,,STR72796,Male
Lisa Tran,Pediatrics,85000,4.0,STR63350,Male
Jasmine Johnson,Surgery,60000,4.0,STR89246,Male
Andrew Garcia,Dermatology,45000,,STR36637,Male
Brandi Smith,Urology,90000,,STR06249,Female
Mrs. Amy Ayala,Surgery,60000,5.0,STR06174,Female
Michelle Stout,,75000,2.0,STR92801,Female
Brian Martin,,20000,3.0,STR63038,Female
Kenneth Moreno,,25000,4.0,STR91688,Male
Charles Smith,Pediatrics,95000,5.0,STR56800,Female
Margaret Turner,Endocrinology,70000,1.0,STR55281,Male
Melody Cameron,,30000,3.0,STR58488,Male
Jonathan Brown,Pediatrics,45000,4.0,STR97634,Male
Martin Long,Psychiatry,85000,3.0,STR32249,Male
Ryan Blake,,100000,,STR09542,Female
Mckenzie Reilly,Surgery,20000,2.0,STR53456,Female
Debra Ali,Radiology,80000,5.0,STR67129,Female
Jerry Horn DDS,,55000,2.0,STR13108,Male
Carrie Luna,Surgery,65000,3.0,STR59925,Male
Meghan Mckay,Dermatology,95000,4.0,STR60349,Female
Anna Ward,,70000,,STR33155,Male
Monica Cameron,,20000,3.0,STR29081,Male
Curtis Lang,Pediatrics,80000,,STR66355,Female
Pamela Jones,Gastroenterology,100000,2.0,STR02146,Female
Andrew Stevens,Dermatology,55000,,STR70503,Male
Amanda Montgomery,,65000,,STR62672,Female
Christopher Williams,Endocrinology,25000,1.0,STR84864,Female
Ronald Newman,Psychiatry,50000,2.0,STR08668,Male
Connor FerNULLdez,Dermatology,25000,1.0,STR47119,Female
Michelle Miller,Endocrinology,100000,1.0,STR97667,Male
Alicia Smith,,45000,,STR39581,Female
Anthony Byrd,Surgery,55000,4.0,STR14158,Female
Gabriel Garcia,Oncology,60000,1.0,STR90989,Male
Jade Wood,Endocrinology,20000,3.0,STR51534,Female
Brandon Huff,Pediatrics,60000,2.0,STR13788,Male
Daniel Moore,Dermatology,25000,1.0,STR48751,Male
Aaron Adams,Surgery,55000,1.0,STR90828,Male
Kelli Esparza,Endocrinology,90000,,STR38677,Female
Mackenzie Cook MD,Psychiatry,25000,,STR54140,Male
Anthony Perez,Urology,60000,,STR11514,Male
Amanda Vance,,85000,5.0,STR63926,Female
Cody Martin,Gastroenterology,80000,,STR07045,Male
Jerry Young,,50000,,STR79873,Male
Brian Hopkins,Psychiatry,25000,3.0,STR27583,Male
Tiffany Daniel,Cardiology,35000,1.0,STR33390,Female
Andrew Harrington,Pediatrics,35000,,STR07650,Male
Shawn Higgins,Gastroenterology,35000,,STR03150,Female
Mariah Hughes,Urology,75000,4.0,STR78681,Female
David Parker,Endocrinology,50000,3.0,STR00202,Female
Lisa Booth,Oncology,60000,1.0,STR76837,Male
James Cooper,Psychiatry,30000,1.0,STR97261,Female
Barbara Baker,Oncology,30000,3.0,STR23955,Female
Derek Torres,,70000,4.0,STR37337,Female
Wayne Washington,Oncology,45000,,STR13388,Female
Rhonda Mejia,Neurology,65000,5.0,STR19884,Male
Scott Pena,Radiology,55000,1.0,STR29167,Female
Andrea Simmons,Surgery,75000,4.0,STR18719,Male
Courtney Nunez,Radiology,90000,1.0,STR85840,Male
Sherry Huang,Neurology,35000,1.0,STR92523,Female
Ann Adkins,Oncology,55000,3.0,STR58437,Male
Jasmine Williams,Oncology,90000,1.0,STR45456,Female
David Peters,Gastroenterology,80000,3.0,STR37054,Male
Maria Zamora,Dermatology,95000,1.0,STR06823,Female
Kelly Hahn,Gastroenterology,80000,1.0,STR79885,Female
Cheryl Lloyd,,35000,2.0,STR79135,Female
Julie Torres,Cardiology,20000,,STR88907,Male
Gabriel Taylor,Psychiatry,75000,3.0,STR70929,Female
Lori Rodriguez,,85000,,STR53608,Male
Jessica Santos,Pediatrics,75000,5.0,STR69103,Male
Katherine Garcia,Dermatology,20000,,STR19596,Female
Mary Molina,Radiology,80000,5.0,STR38776,Male
Bonnie Pollard,Surgery,25000,,STR86110,Female
Christopher Gibson,Cardiology,85000,1.0,STR55437,Female
Ronald Jennings,Cardiology,45000,,STR39454,Male
Amy Pierce,Endocrinology,90000,5.0,STR57608,Female
Kevin Fuller,Dermatology,55000,,STR78607,Male
Mary Cole,Surgery,75000,2.0,STR32488,Male
Shaun Dunn,Psychiatry,70000,,STR17794,Female
Greg Davis,Surgery,85000,3.0,STR49425,Male
Julie Johnson,Pediatrics,85000,3.0,STR15428,Male
Ronald Anderson,Psychiatry,50000,2.0,STR61780,Female
Lynn Davis,Cardiology,25000,3.0,STR98984,Female
Edward Nelson,,60000,,STR91591,Male
Kayla Williams,,70000,5.0,STR19222,Female
Adam Edwards,Psychiatry,25000,3.0,STR70576,Female
Peter Nielsen,Neurology,35000,,STR30257,Male
Rachel Harris,Oncology,85000,3.0,STR43459,Male
Monica Morrow,,70000,2.0,STR51517,Male
Melissa Anderson,Neurology,30000,2.0,STR87865,Male
Megan Patton,,20000,4.0,STR65015,Female
Patrick Johnson,,50000,,STR91287,Female
Timothy Brooks,,20000,,STR00848,Male
Ralph Wise,,35000,3.0,STR11119,Female
Logan Sanchez,Radiology,90000,5.0,STR29301,Male
Kathryn Cohen,,65000,1.0,STR57637,Female
Marcus Morgan,Urology,35000,4.0,STR60840,Female
Ryan Jones,Gastroenterology,55000,5.0,STR07233,Male
David Caldwell,,90000,,STR11861,Male
Megan Martin,Oncology,90000,,STR96302,Female
Steven Lewis,Psychiatry,80000,1.0,STR16973,Male
Antonio Richardson,Surgery,85000,5.0,STR86164,Male
Steven Huber,,100000,5.0,STR88562,Female
Melissa Schmidt,Surgery,25000,2.0,STR09915,Female
Daniel Bowman,Neurology,100000,3.0,STR10233,Male
Brian Thompson,Radiology,100000,,STR38024,Female
Daniel Farmer,Pediatrics,80000,,STR01148,Male
Pamela Sanchez,Radiology,50000,4.0,STR72964,Male
Julia Whitaker,,75000,3.0,STR67376,Female
Madison Bailey,,90000,,STR50799,Female
Christine Miller,Psychiatry,65000,,STR94943,Male
Timothy Snyder,Oncology,95000,1.0,STR81818,Male
Jason Haas,Psychiatry,50000,,STR61870,Female
James Kramer,,25000,,STR53590,Female
Samantha Brown,,85000,3.0,STR72044,Male
Angela Jensen,Pediatrics,70000,,STR91537,Male
Lindsey Olsen,,60000,4.0,STR64037,Male
Dana Adkins,Gastroenterology,70000,1.0,STR20601,Female
Christopher Robinson,Gastroenterology,45000,,STR70761,Male
Alison Scott,Oncology,50000,,STR72926,Female
William Dean,Pediatrics,90000,3.0,STR81846,Female
Jeff HerNULLdez,,20000,3.0,STR45545,Male
Jose Wells,Neurology,65000,,STR35780,Male
David Perez,Endocrinology,20000,3.0,STR79410,Female
William Beasley,Gastroenterology,70000,3.0,STR08081,Male
Jose Hicks,Gastroenterology,60000,2.0,STR24480,Female
Alan Cohen,Radiology,70000,,STR36732,Female
Mark Wells,Pediatrics,35000,,STR40291,Male
Michael Porter,Pediatrics,70000,4.0,STR47497,Male
Dawn Cox,Surgery,65000,5.0,STR49679,Female
Richard Tucker,Surgery,100000,1.0,STR38134,Male
Crystal Wallace,Oncology,45000,,STR56805,Female
Jeremy Price,,100000,,STR68763,Female
Dr. Robert Reyes PhD,,60000,3.0,STR20919,Female
Andrew Hammond,,100000,4.0,STR32592,Male
Matthew Copeland,,90000,2.0,STR59002,Female
Amy Perez,,50000,,STR92514,Male
Angelica Anderson,,45000,5.0,STR99719,Male
Richard Duke,,75000,,STR07657,Male
Billy Ramsey,Urology,65000,2.0,STR36156,Male
Karen Bowman,Cardiology,90000,1.0,STR18279,Male
Gloria Young,Gastroenterology,100000,,STR85269,Male
Shawn Ray,,25000,1.0,STR08521,Female
Shawn Johnston,Cardiology,30000,4.0,STR72383,Male
Tommy Brown,,65000,5.0,STR57530,Male
Hannah Harris,Cardiology,25000,,STR86868,Male
Tracy Carroll,Cardiology,55000,,STR97066,Female
Thomas Newton,Cardiology,35000,,STR01172,Male
Kayla Vega,,65000,,STR99777,Female
Ricardo Nelson,Oncology,60000,4.0,STR85539,Male
Frank Webb,Pediatrics,80000,5.0,STR48971,Female
Brenda Miller,Psychiatry,70000,,STR21613,Male
Amy Padilla,,20000,,STR51129,Female
Charles Robertson,Dermatology,45000,3.0,STR97030,Male
Ryan Bradley,Surgery,20000,5.0,STR09461,Female
Sylvia Sanders,Gastroenterology,70000,5.0,STR02246,Male
Eric Smith,,95000,5.0,STR20154,Male
Tammy Everett,,75000,3.0,STR52824,Female
Patrick Brown,Oncology,100000,2.0,STR81986,Male
Sherry Greene,Oncology,70000,2.0,STR30903,Male
Robert Robinson,,65000,5.0,STR33035,Male
Katherine Goodwin,Surgery,95000,2.0,STR84865,Male
Joseph Buck,Surgery,100000,,STR71313,Male
Lori Palmer,Radiology,100000,2.0,STR15491,Female
Nicole Mercer,,25000,,STR11356,Female
Patricia Lee,Psychiatry,25000,1.0,STR88842,Male
Christina Kelly,Pediatrics,50000,,STR96656,Male
Justin Graves,Oncology,30000,3.0,STR26940,Male
Devon Rubio,Pediatrics,20000,,STR38692,Female
Kristen Reyes,Cardiology,95000,,STR01984,Female
Mark Williams,Surgery,25000,5.0,STR58060,Female
Shelley Melton,Cardiology,90000,1.0,STR15378,Male
Gabriel Maxwell,Pediatrics,25000,,STR52357,Male
Bradley Holden,Neurology,65000,3.0,STR13517,Male
Brett Baker,,100000,3.0,STR06021,Male
Sharon Johnson,Oncology,75000,4.0,STR87512,Male
Patricia Guzman,,50000,,STR66272,Male
Mark Harper,Radiology,20000,,STR83505,Female
Gina Hartman,,70000,1.0,STR32582,Male
Maria Flynn,Endocrinology,45000,3.0,STR76026,Female
Brian George,Cardiology,45000,,STR13418,Female
Robert Downs,,85000,4.0,STR12794,Female
Jessica Lewis,,30000,3.0,STR63607,Male
Barbara Marshall,Oncology,85000,5.0,STR43656,Male
Monique Williams,,25000,4.0,STR95344,Female
Reginald Roberts,Pediatrics,25000,1.0,STR45467,Male
Donald Adams,Urology,80000,3.0,STR27656,Female
Virginia Clements,Pediatrics,100000,2.0,STR99743,Male
Michael Morrison,,25000,4.0,STR14894,Female
Aaron Cole,Cardiology,25000,1.0,STR76646,Male
Laura Howell,,20000,5.0,STR49721,Female
John Carney,Oncology,35000,,STR39942,Female
Stephen Larson,,90000,2.0,STR72189,Female
Tony Washington,,20000,,STR82342,Male
Ashlee Morgan,Psychiatry,45000,5.0,STR31876,Male
Sarah Adkins,,90000,,STR70750,Female
Jamie Giles,Dermatology,95000,,STR70753,Male
Ruth Williams,Urology,75000,5.0,STR78911,Female
Kimberly Brown,Endocrinology,85000,2.0,STR66205,Male
Rachel Houston,,90000,5.0,STR32772,Male
Lori Blair,Urology,90000,,STR58903,Female
Kimberly Moore MD,Psychiatry,50000,2.0,STR90949,Female
Heather Cole,Dermatology,70000,4.0,STR29954,Male
John Dunlap,Psychiatry,80000,4.0,STR19167,Male
Melinda Hughes,Oncology,90000,1.0,STR83811,Female
James Brown,,35000,,STR06277,Female
Jeffrey Smith,Cardiology,75000,5.0,STR92235,Female
Dean Thompson,,65000,,STR93000,Female
Barbara Moreno,Oncology,50000,4.0,STR21394,Female
Angela Tyler,Radiology,25000,1.0,STR47563,Female
Joseph Steele,Cardiology,90000,,STR52364,Female
Cynthia Odom,,100000,3.0,STR84367,Female
Michael Good,Pediatrics,60000,1.0,STR53323,Male
Brandy Cummings DVM,Surgery,60000,1.0,STR93816,Female
David Miller,Radiology,70000,3.0,STR44122,Female
Larry Cordova,Urology,20000,3.0,STR41196,Female
Mark Lutz,Dermatology,70000,3.0,STR35128,Female
Jeremy Vasquez,,55000,,STR38460,Female
Michael Mccoy,,70000,5.0,STR98415,Male
Deanna Davis PhD,Urology,90000,,STR39648,Female
Bradley Wilson,,70000,5.0,STR63399,Male
Kristen Small,Gastroenterology,35000,,STR87166,Male
Jasmine Martinez,,55000,5.0,STR44596,Female
William Johnson,Dermatology,75000,,STR64318,Male
Stephanie Garcia,Neurology,65000,1.0,STR55080,Male
Linda Jackson,,65000,5.0,STR87027,Female
Paula Cardenas,Dermatology,70000,2.0,STR33503,Male
Keith Smith,Neurology,85000,,STR64615,Female
Tracy Hughes,,30000,2.0,STR67129,Male
Joshua Johnson,Endocrinology,100000,5.0,STR47857,Female
Jennifer Jones,Surgery,65000,1.0,STR03794,Male
Michael Herrera,Surgery,90000,3.0,STR79531,Male
Catherine Shaw,Surgery,75000,,STR03963,Female
Jacob Johnson DDS,Endocrinology,75000,5.0,STR10005,Female
Colleen Richardson,Dermatology,80000,4.0,STR71410,Male
Hunter Wilson,,60000,,STR19789,Female
Heather Murray,Gastroenterology,85000,,STR73321,Male
Julian Hall PhD,,95000,1.0,STR37674,Female
Brandon Yates,,25000,5.0,STR02630,Female
Sarah Rios,,55000,,STR37471,Male
Deborah Wilson,Neurology,25000,3.0,STR17305,Male
Christopher Anderson,,30000,,STR89241,Female
Doris Bennett,,75000,2.0,STR62982,Male
Victoria Wallace,Endocrinology,100000,1.0,STR13790,Female
Kristen Gonzalez,Dermatology,50000,3.0,STR90259,Female
Jay Irwin,Gastroenterology,65000,,STR89028,Female
Christina Morales,Neurology,35000,1.0,STR06881,Female
Theresa Johnson,Urology,95000,3.0,STR57209,Female
Shawn Ortiz,Psychiatry,35000,2.0,STR37135,Male
Robert Smith,Urology,35000,1.0,STR74160,Female
David Thompson,,85000,5.0,STR81238,Male
Wayne Rowe,Urology,35000,,STR74059,Male
John Smith,Cardiology,45000,3.0,STR67698,Male
Cheryl Campbell,Oncology,85000,,STR39638,Male
Lynn Phillips,Dermatology,45000,4.0,STR88730,Male
Natalie Frost,Oncology,45000,1.0,STR42777,Female
Scott Jones,Neurology,45000,3.0,STR00219,Female
Michael Harrell,Pediatrics,65000,,STR52126,Male
Michelle Jackson,,25000,5.0,STR25011,Female
Shawn Christian,Surgery,20000,3.0,STR95393,Male
Michael Thomas,,75000,,STR23480,Female
John Doyle,Oncology,85000,5.0,STR57006,Female
Jacqueline Ortiz,Pediatrics,50000,,STR45488,Male
Dr. James Buckley DDS,,75000,,STR12653,Male
Daniel Haney,Pediatrics,60000,5.0,STR71346,Female
Michael Ward,Gastroenterology,25000,5.0,STR82337,Female
James Carter,,30000,3.0,STR10032,Female
Matthew Sherman,Surgery,45000,1.0,STR24899,Male
Emily Mcdonald,,55000,,STR18562,Male
William Mccormick,Neurology,65000,3.0,STR94417,Female
Tamara Boone,,75000,2.0,STR37088,Male
Dana Thomas,,70000,2.0,STR18234,Male
Ricardo Hawkins,Radiology,90000,,STR97882,Female
Tony Reynolds,Cardiology,95000,1.0,STR90669,Female
Olivia Carney,Surgery,90000,1.0,STR63215,Female
John Coleman,Radiology,50000,4.0,STR78544,Female
Bruce Munoz,Endocrinology,75000,2.0,STR04307,Female
Mary Morris,,65000,5.0,STR26797,Female
Richard Hahn,,20000,3.0,STR75794,Male
Justin Henderson,,60000,1.0,STR80836,Male
Sandra Grimes,Oncology,20000,,STR18114,Female
Wesley Riley,,50000,1.0,STR86679,Female
Desiree Powers,,75000,1.0,STR08039,Female
Thomas Montoya,Gastroenterology,90000,2.0,STR51464,Male
Elizabeth Levine,,20000,5.0,STR00362,Female
Marissa Zuniga,Dermatology,60000,,STR96285,Female
Ruth Brown,,45000,3.0,STR23724,Male
Kyle Snyder,Urology,70000,,STR02660,Male
Kimberly Lozano,Surgery,55000,4.0,STR86271,Male
Michael Krueger,Radiology,95000,,STR12204,Female
Cathy Rivera,,90000,,STR84539,Female
Paul Mathis,Neurology,100000,2.0,STR04175,Male
Kaylee Campos,,30000,2.0,STR87919,Female
Joseph Caldwell,,95000,2.0,STR07096,Female
Debra Gonzalez,,55000,5.0,STR58748,Male
Alicia Berry,Oncology,55000,2.0,STR85512,Male
Katrina Ponce,Neurology,95000,1.0,STR05951,Male
Kimberly Torres,Psychiatry,45000,2.0,STR53796,Female
Ethan Ramirez,Radiology,50000,,STR85350,Male
John Bryant,Oncology,90000,3.0,STR79891,Male
Carlos Wilson,,30000,4.0,STR24229,Male
David Campos,Psychiatry,35000,3.0,STR79572,Female
Andrew Mcmahon,Urology,100000,3.0,STR29499,Female
John Hanson,,45000,5.0,STR41199,Female
Toni Thompson,,100000,,STR39735,Female
Julie Johnson,Surgery,100000,5.0,STR71853,Male
Ryan Martinez,Endocrinology,25000,,STR68875,Male
Robert Olson,Gastroenterology,80000,2.0,STR90130,Female
Stephanie HerNULLdez,,55000,4.0,STR04874,Female
Charles Walter,Pediatrics,60000,1.0,STR57021,Female
Carol Johnson,Dermatology,90000,,STR32364,Male
Sabrina HerNULLdez,Cardiology,100000,3.0,STR26729,Female
Courtney Ramos,Pediatrics,85000,,STR35906,Male
Karen Mendoza,Oncology,95000,5.0,STR50217,Male
Nicholas Martin MD,Oncology,20000,5.0,STR82886,Female
Gerald Jones,Endocrinology,55000,,STR28700,Male
Nicholas Costa,Cardiology,75000,5.0,STR49310,Female
Jason Daniel,,20000,5.0,STR58222,Female
Beth Erickson,Gastroenterology,55000,,STR65397,Male
Kristen Manning,Neurology,60000,2.0,STR75420,Male
Travis Bell,Radiology,25000,2.0,STR17585,Female
Lindsey Ramirez,Cardiology,45000,,STR75227,Male
Jodi Riley,Psychiatry,50000,5.0,STR02197,Male
Stephanie Torres,Endocrinology,45000,1.0,STR35629,Female
Tonya Thompson,Dermatology,90000,,STR20653,Male
Michael Olson,,90000,,STR52909,Female
Lisa Berry,Endocrinology,55000,3.0,STR71631,Male
Michael Jenkins,,20000,2.0,STR82611,Male
Eileen Li,Neurology,80000,2.0,STR35875,Male
Mark Nolan,Neurology,55000,,STR46538,Male
Anthony Craig,,95000,,STR72256,Female
Tim Delacruz,Neurology,90000,1.0,STR69868,Female
Amber Spencer,Gastroenterology,95000,,STR29618,Female
Mitchell Anderson DDS,Gastroenterology,30000,5.0,STR26742,Male
Sabrina Edwards,Cardiology,95000,4.0,STR49969,Female
Emma Morris,,45000,,STR87137,Male
John Smith,Endocrinology,70000,,STR74516,Female
Caitlin Wilson,Pediatrics,55000,5.0,STR49106,Female
Oscar Arnold,Pediatrics,70000,,STR83426,Male
Heidi Barnett,Cardiology,80000,5.0,STR01569,Female
Scott Watson,,25000,1.0,STR15384,Female
Lisa Mccoy,,50000,2.0,STR76425,Male
Judith Meyer,,35000,,STR54437,Male
Timothy Richards,Urology,30000,3.0,STR08608,Male
Daniel Wallace,Radiology,80000,,STR05823,Female
Robert Brown,,65000,4.0,STR49153,Male
Kenneth Roberts,,60000,1.0,STR21819,Female
Dominique White,Surgery,85000,5.0,STR37113,Male
Casey Jimenez,,45000,2.0,STR23928,Male
Jordan Robbins,,20000,,STR29729,Male
Jennifer Hamilton,Cardiology,95000,,STR69961,Male
Jeffrey Kennedy,Gastroenterology,25000,,STR56529,Male
Ashley Garcia,,100000,4.0,STR26152,Female
Mason Morgan,Oncology,100000,,STR32808,Male
Michael Webb,,25000,2.0,STR85551,Female
Angela Navarro,,60000,4.0,STR60472,Female
Jacob Peterson,Urology,25000,,STR12878,Male
William Shah,Endocrinology,65000,,STR59048,Female
Casey Byrd,Oncology,75000,1.0,STR49498,Male
Jose Skinner,Radiology,70000,4.0,STR56714,Female
John Fleming,,70000,,STR05596,Female
Nicole Williams,Surgery,25000,2.0,STR82544,Female
Gary Bartlett,Pediatrics,30000,1.0,STR41943,Male
Steven Ruiz,Neurology,45000,1.0,STR46663,Male
David Rivera,Endocrinology,35000,4.0,STR62998,Male
Jessica Wagner,Gastroenterology,45000,5.0,STR49080,Female
Nichole Ray,,80000,4.0,STR28527,Female
Danielle Dixon,Endocrinology,55000,2.0,STR05715,Male
Jason Henderson,Oncology,75000,,STR24944,Female
Alexis Newman,,20000,4.0,STR87657,Male
Anthony Davidson,,80000,3.0,STR35170,Male
Thomas Miller,Endocrinology,35000,5.0,STR58154,Female
Tara Russell,,90000,4.0,STR59602,Male
Monica Johnson,Cardiology,100000,1.0,STR05108,Male
Michelle Perez,Urology,50000,4.0,STR26963,Female
Kristi Mann,Cardiology,60000,,STR14753,Female
Mrs. Isabel Gross,Gastroenterology,55000,,STR27550,Female
Sydney Brown,Dermatology,90000,2.0,STR54996,Female
Mrs. Theresa Nguyen,Radiology,50000,,STR93894,Male
Mitchell Welch,Cardiology,35000,3.0,STR30123,Male
Tanya Allen,Radiology,60000,5.0,STR23369,Male
Caroline Robinson,Gastroenterology,30000,,STR80752,Female
Ryan Chen,Pediatrics,60000,1.0,STR80075,Female
Olivia Davis,Oncology,65000,,STR72629,Male
Felicia Erickson,Cardiology,50000,3.0,STR90494,Female
Douglas Stuart,Psychiatry,35000,3.0,STR47414,Female
Jacob Crawford,,75000,5.0,STR90564,Female
Audrey Poole,Surgery,80000,4.0,STR61373,Female
Eric Mora,,60000,1.0,STR28026,Male
Michael Cox,Urology,20000,1.0,STR68765,Female
David Anderson,Surgery,20000,1.0,STR50579,Female
Kristine Soto,,75000,2.0,STR39517,Male
James Cunningham,,95000,,STR45280,Male
Mr. Eugene Guerra,Neurology,80000,5.0,STR25247,Female
Jessica Williams,Gastroenterology,90000,3.0,STR27636,Female
Kyle Lowe,Neurology,70000,,STR76732,Female
Elizabeth Anderson,Surgery,20000,,STR66993,Male
Elaine Hudson,,85000,1.0,STR45959,Male
Donna Morton,Radiology,60000,,STR78328,Male
William Pollard,,50000,2.0,STR33457,Male
Jonathan Meadows,Dermatology,75000,,STR41930,Male
Derek Richards,Radiology,80000,4.0,STR67744,Male
Patricia Garza,,70000,5.0,STR46480,Male
Luis Wise,Pediatrics,95000,,STR93000,Female
Gregory Grimes,,65000,3.0,STR00041,Female
John Cardenas,Cardiology,35000,3.0,STR57452,Female
Francis Blevins,,30000,3.0,STR13164,Female
Nicole Davis,,35000,1.0,STR81007,Female
Terri Williams,Surgery,20000,4.0,STR41709,Male
